GeneSet Length_GS pvalue CS excluded
KEGG_GLYCOLYSIS_GLUCONEOGENESIS 62 0.492 MYLIP,ANO10,ANXA10,LCA5L,AKAP1,MAST3,TPH1,MYLK,ANO1,ANTXR2,ANKRD12,ANKS4B,ADAMTS9 3
KEGG_CITRATE_CYCLE_TCA_CYCLE 32 0.983 ACTR8,TMEM126A,SRGN,NME6,NME4,ACVR1C,SRMS 2
KEGG_PENTOSE_PHOSPHATE_PATHWAY 27 0.679 ANXA10,MAST3,YPEL5,ANTXR2 2
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS 28 0.991 MPDU1,FA2H,FNDC3B 1
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM 34 0.049 SCNN1A,MYLIP,LZTFL1,SCN4A,ANXA10,MYLK,TPCN2,ANTXR2 0
KEGG_GALACTOSE_METABOLISM 26 0.143 C17orf28,MYLIP,LCA5L,MYLK,LEPREL1,LEPREL2 0
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM 25 0.995 ANO1,ANKS4B,RHOT1,ANP32E 0
KEGG_FATTY_ACID_METABOLISM 42 0.955 AKAP1,ACSL6,LIPM,ANO1,ADAM15,ANKS4B,ACSS1,AK3 0
KEGG_STEROID_BIOSYNTHESIS 17 0.667 GALNT2,KDM5B 0
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS 16 0.278 FCRL5,ANKRD23,ADAM17,NEK5,C17orf64,APCDD1L,FBXO38 0
KEGG_STEROID_HORMONE_BIOSYNTHESIS 55 0.939 NES,FCRL5,FCAR,FBXO17,ANKRD23,ANKRD17,NEK4,NEIL3,FBXO18,FBXO2,EML3,FBXO24,FBXO22 0
KEGG_OXIDATIVE_PHOSPHORYLATION 135 0.984 C11orf40,ENTPD5,SKOR1,C11orf45,SLC15A2,SLC16A1,C11orf9,C11orf49,SLC11A2,SLC12A3,C11orf52,SLC12A7,C11orf20,C11orf67,SLC16A10,SLAMF1,SLC12A9,C11orf87,C11orf88,C12orf54,C11orf24 26
KEGG_PURINE_METABOLISM 159 0.471 TLR10,ULK1,UNC93B1,TMIGD1,ZC3H15,URGCP,TP53BP2,WHSC2,UNKL,MOXD1,LMOD3,TMPO,UPF1,ALAD,WFIKKN1,AHSA2,ALAS1,LZTS1,YPEL5,AP1G2,GALNT14,TMEM89,UHRF1BP1L,MOV10,HIST1H4F,UHMK1,TMOD4,UROC1,TMEM80,TMEM88B,UQCRH,CLDN3,UPK3A,AIFM3,APOBR,MORN1,UMOD,KIAA1468,SLC47A1 12
KEGG_PYRIMIDINE_METABOLISM 98 0.948 ULK1,UNC93B1,URGCP,WHSC2,UNKL,UPF1,GPR20,UHRF1BP1L,UHMK1,UROC1,UQCRH,CLDN3,UPK3A,UMOD,SLC47A1 8
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM 32 0.009 LXN,LDLRAD2,BPIFB1,METTL3,ANO6,BPIFA2,LYG2,LVRN,ALAD,ALAS1,BRD2,ANO5 1
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM 31 0.183 LRTM1,PTPN5,APOC4,ARSK,DISP2 0
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM 34 0.436 GLP1R,AMDHD1,AMDHD2,GLP2R,ATAT1 2
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION 44 0.608 TMEM132A,ACSF3,C1QTNF8,TMEM132C,ACSL6,ANO7,ANO1,C1orf100,ANKS4B,ACSS1,OR51B4,ABCA12,C1QTNF9 0
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS 11 0.72 C1QTNF8,C1QTNF9 0
